state,LDS.membership,population,LDS.percent
Alabama,"37,913","4,887,871",0.78
Alaska,"33,298","737,438",4.52
Arizona,"432,161","7,171,646",6.03
Arkansas,"31,765","3,013,825",1.05
California,"761,054","39,557,045",1.92
Colorado,"150,958","5,695,564",2.65
Connecticut,"15,834","3,572,665",0.44
Delaware,"5,620","967,171",0.58
District of Columbia,"2,805","702,455",0.4
Florida,"158,617","21,299,325",0.74
Georgia,"85,927","10,519,475",0.82
Hawaii,"74,699","1,420,491",5.26
Idaho,"456,496","1,754,208",26.02
Illinois,"57,001","12,741,080",0.45
Indiana,"45,395","6,691,878",0.68
Iowa,"28,408","3,156,145",0.9
Kansas,"38,077","2,911,505",1.31
Kentucky,"35,779","4,468,402",0.8
Louisiana,"29,750","4,659,978",0.64
Maine,"10,994","1,338,404",0.82
Maryland,"44,094","6,042,718",0.73
Massachusetts,"27,805","6,902,149",0.4
Michigan,"45,039","9,995,915",0.45
Minnesota,"33,331","5,611,179",0.59
Mississippi,"21,561","2,986,530",0.72
Missouri,"71,774","6,126,452",1.17
Montana,"50,333","1,062,305",4.74
Nebraska,"25,046","1,929,268",1.3
Nevada,"184,565","3,034,392",6.08
New Hampshire,"8,875","1,356,458",0.65
New Jersey,"33,926","8,908,520",0.38
New Mexico,"69,333","2,095,428",3.31
New York,"82,731","19,542,209",0.42
North Carolina,"87,768","10,383,620",0.85
North Dakota,"11,406","760,077",1.5
Ohio,"62,326","11,689,442",0.53
Oklahoma,"48,268","3,943,079",1.22
Oregon,"153,338","4,190,713",3.66
Pennsylvania,"51,954","12,807,060",0.41
Rhode Island,"4,165","1,057,315",0.39
South Carolina,"40,887","5,084,127",0.8
South Dakota,"10,654","882,235",1.21
Tennessee,"51,863","6,770,010",0.77
Texas,"357,625","28,701,845",1.25
Utah,"2,109,578","3,161,105",66.74
Vermont,"4,622","626,299",0.74
Virginia,"95,873","8,517,685",1.13
Washington,"289,068","7,535,591",3.84
West Virginia,"17,045","1,805,832",0.94
Wisconsin,"27,003","5,813,568",0.46
Wyoming,"67,421","577,737",11.67
